input,output
"Check algorithm: Start Input A,B C=A+B Print C Stop","Correct algorithm. It correctly adds two numbers."
"Check algorithm: Start Input A,B Print C Stop","Incorrect algorithm. Variable C is not defined before printing."
"Check algorithm: Start Input N S=N*N Print S Stop","Correct algorithm. It correctly calculates square of a number."
"Check algorithm: Start Input N Print S Stop","Incorrect algorithm. Variable S is not defined."
"Check algorithm: Start Input N If N%2==0 Print Even Else Print Odd Stop","Correct algorithm. It correctly checks even or odd."
"Check algorithm: Start Input N If N%2==0 Print Even Stop","Incorrect algorithm. Missing Else condition for odd numbers."
"Check algorithm: Start Input A,B If A>B Print A Else Print B Stop","Correct algorithm. It correctly finds the largest number."
"Check algorithm: Start Input A,B If A>B Print B Else Print A Stop","Incorrect algorithm. Logic is incorrect for largest number."
"Check algorithm: Start Input N Sum=0 For i=1 to N Sum=Sum+i Print Sum Stop","Correct algorithm. It correctly calculates sum of first N numbers."
"Check algorithm: Start Input N For i=1 to N Sum=Sum+i Print Sum Stop","Incorrect algorithm. Sum variable not initialized."
"Check algorithm: Start Input N Fact=1 For i=1 to N Fact=Fact*i Print Fact Stop","Correct algorithm. It correctly calculates factorial."
"Check algorithm: Start Input N For i=1 to N Fact=Fact*i Print Fact Stop","Incorrect algorithm. Factorial variable not initialized."
"Check algorithm: Start Input A,B Temp=A A=B B=Temp Print A,B Stop","Correct algorithm. It correctly swaps two numbers."
"Check algorithm: Start Input A,B A=B B=A Print A,B Stop","Incorrect algorithm. Swap logic is incorrect."
"Check algorithm: Start Input A,B,C If A>B and A>C Print A Else If B>C Print B Else Print C Stop","Correct algorithm. It correctly finds largest of three numbers."
"Check algorithm: Start Input A,B,C Print A Stop","Incorrect algorithm. Does not compare all numbers."
"Check algorithm: Start Input N Rev=0 While N>0 R=N%10 Rev=Rev*10+R N=N/10 Print Rev Stop","Correct algorithm. It correctly reverses the number."
"Check algorithm: Start Input N Print Rev Stop","Incorrect algorithm. Reverse variable not defined."
"Check algorithm: Start Input N Count=0 For i=1 to N If N%i==0 Count=Count+1 If Count==2 Print Prime Else Print NotPrime Stop","Correct algorithm. It correctly checks prime number."
"Check algorithm: Start Input N Print Prime Stop","Incorrect algorithm. Prime logic missing."
"Check algorithm: Start Input marks If marks>=90 Print Excellent Else Print Fail Stop","Correct algorithm. It correctly evaluates grade."
"Check algorithm: Start Input marks Print Grade Stop","Incorrect algorithm. Grade logic missing."
"Check algorithm: Start Input N Cube=N*N*N Print Cube Stop","Correct algorithm. It correctly calculates cube."
"Check algorithm: Start Input N Print Cube Stop","Incorrect algorithm. Cube variable not defined."
"Check algorithm: Start Input A,B Sum=A+B Print Sum Stop","Correct algorithm. Addition logic is correct."
"Check algorithm: Start Input A,B Sum=A-B Print Sum Stop","Incorrect algorithm. It performs subtraction instead of addition."
"Check algorithm: Start Input radius Area=3.14*radius*radius Print Area Stop","Correct algorithm. It correctly calculates circle area."
"Check algorithm: Start Input radius Print Area Stop","Incorrect algorithm. Area variable not defined."
"Check algorithm: Start Input length,breadth Area=length*breadth Print Area Stop","Correct algorithm. Rectangle area calculation is correct."
"Check algorithm: Start Input length,breadth Print Area Stop","Incorrect algorithm. Area variable missing."
"Check algorithm: Start Input N If N>0 Print Positive Else Print Negative Stop","Correct algorithm. It correctly checks positive or negative."
"Check algorithm: Start Input N Print Positive Stop","Incorrect algorithm. Missing negative condition."
"Check algorithm: Start Input N Sum=0 While N>0 Sum=Sum+N N=N-1 Print Sum Stop","Correct algorithm. It correctly sums numbers using while loop."
"Check algorithm: Start Input N While N>0 Print Sum Stop","Incorrect algorithm. Sum variable not initialized."
"Check algorithm: Start Input A,B Avg=(A+B)/2 Print Avg Stop","Correct algorithm. Average calculation is correct."
"Check algorithm: Start Input A,B Print Avg Stop","Incorrect algorithm. Average variable not defined."
"Check algorithm: Start Input N If N==0 Print Zero Else Print NonZero Stop","Correct algorithm. It correctly checks zero."
"Check algorithm: Start Input N Print Zero Stop","Incorrect algorithm. Missing condition check."
"Check algorithm: Start Input N Power=N*N Print Power Stop","Correct algorithm. Power calculation is correct."
"Check algorithm: Start Input N Print Power Stop","Incorrect algorithm. Power variable not defined."
"Check algorithm: def add(a,b): return a+b","Correct algorithm. It correctly defines a function to add two numbers."
"Check algorithm: def square(n): print(s)","Incorrect algorithm. Variable 's' is not defined in the function."
"Check algorithm: if __name__ == '__main__': print('Running')","Correct algorithm. Standard Python entry point."
"Check algorithm: for i in range(10): print i","Incorrect algorithm. Missing parentheses for print in Python 3."
"Check algorithm: for i in range(10): print(i)","Correct algorithm. Properly prints numbers in a loop."
"Check algorithm: res = [x*x for x in nums]","Correct algorithm. Proper list comprehension."
"Check algorithm: while True: pass","Correct algorithm. Infinite loop with pass."
"Check algorithm: def greet(): print('Hi') greet()","Correct algorithm. Function definition and call."
"Check algorithm: print(undefined_var)","Incorrect algorithm. Using a variable that hasn't been defined."
"Check algorithm: x = 10 / 0","Incorrect algorithm. Logic error: Division by zero."
"Check algorithm: def find_max(a,b): if a>b: return a else: return a","Incorrect algorithm. The function returns 'a' in both cases. The 'else' block should return 'b' to correctly find the maximum value."
"Check algorithm: for i in range(5): print(i)","Correct algorithm. This is a standard Python loop that correctly iterates from 0 to 4 and prints each number."
"Check algorithm: name = input('Enter name') print('Hello ' + name)","Correct algorithm. It correctly takes user input and concatenates it with a string for output."
"Check algorithm: list = [1,2,3] print(list[5])","Incorrect algorithm. Logic error: Index out of range. The list only has 3 elements, so index 5 does not exist."
"Check algorithm: x = 5 y = 10 z = x + y print(z)","Correct algorithm. Simple variable assignment and addition logic."
"Check algorithm: if x == 5 print('Five')","Incorrect algorithm. Missing colon ':' after the if statement condition in Python."
"Check algorithm: def test(): x = 10 return x","Correct algorithm. Function with local variable and return statement."
"Check algorithm: import math print(math.sqrt(-1))","Incorrect algorithm. Value Error: Cannot calculate the square root of a negative number using the standard math library."
"Check algorithm: try: x = 1/0 except: print('Error')","Correct algorithm. Properly uses try-except blocks to handle division by zero errors."
"Check algorithm: L = [x for x in range(10) if x % 2 == 0]","Correct algorithm. Advanced list comprehension with filtering."
"Check algorithm: Start Input A,B Product=A+B Print Product Stop","Incorrect algorithm. It performs addition instead of multiplication."
"Check algorithm: Start Input A,B Difference=A+B Print Difference Stop","Incorrect algorithm. It performs addition instead of subtraction."
"Check algorithm: Start Input A,B sum=a-b Display sum Stop","Incorrect algorithm. It performs subtraction instead of addition."
"Check algorithm: Start Input A,B Avg=A+B Print Avg Stop","Incorrect algorithm. Missing division by 2 for average calculation."
"Check algorithm: Start Input arr Set max=arr[0] For i=0 to n-1 If arr[i]<max Set max=arr[i] Print max Stop","Incorrect algorithm. It finds the minimum instead of the maximum because it uses '<'."
"Check algorithm: Start Input N While N>0 Sum=Sum+N Print Sum Stop","Incorrect algorithm. Variable Sum is not initialized to 0."
"Check algorithm: for i in range(10, 0): print(i)","Incorrect algorithm. Loop will not execute because start is greater than stop without a negative step."
"Check algorithm: def find_min(arr): min_val=arr[0] for x in arr: if x > min_val: min_val=x return min_val","Incorrect algorithm. Use of '>' in find_min incorrectly finds the maximum value."
"Check algorithm: x = 5; y = 10; x = y; y = x; print(x, y)","Incorrect algorithm. Swap logic failed; both variables end up with the same value."
"Check algorithm: Start Read N while i <= N print i Stop","Incorrect algorithm. Variable 'i' is never updated, causing an infinite loop."
"Check algorithm: Start Set i=1 While i<=10 Print i Stop","Incorrect algorithm. Missing increment for i, program will hang."
"Check algorithm: while x > 0: print(x)","Incorrect algorithm. Variable x does not change inside the loop."
"Check algorithm: Start Set i=10 While i>0 Print i Stop","Incorrect algorithm. Variable i never decreases, loop will never stop."
